代號,名稱,2026 Q3,2026 Q2,2026 Q1,2025 Q4,2025 Q3,2025 Q2,2025 Q1,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1
2884,玉山金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3711,日月光投控,-,-,-,-,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-,-
2408,南亞科,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2360,致茂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3653,健策,-,-,-,AI1,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-
3665,貿聯-KY,-,-,-,AI1,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-
0000,台灣加權指數,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2344,華邦電,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2337,旺宏,-,AI1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3443,創意,-,-,-,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-
0050,元大台灣50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0052,富邦科技,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
