代號,名稱,2026 Q3,2026 Q2,2026 Q1,2025 Q4,2025 Q3,2025 Q2,2025 Q1,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,process_timestamp
2308,台達電,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,AI1/AI3,AI1,AI1,AI1,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2317,鴻海,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,AI1/AI3,AI1,AI1,AI1,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2324,仁寶,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2330,台積電,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2347,聯強,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2354,鴻準,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2356,英業達,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2357,華碩,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,AI1/AI3,AI1,AI1,AI1,2026-07-03T14:34:50.209692+08:00
2376,技嘉,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2377,微星,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2379,瑞昱,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2382,廣達,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2395,研華,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
