代號,名稱,quarter,deadline,days_overdue
6285,啟碁,2026 Q2,2026-08-14,41
2353,宏碁,2026 Q2,2026-08-14,41
7794,宏碁智新,2026 Q2,2026-08-14,41
6811,宏碁資訊,2026 Q2,2026-08-14,41
6690,安碁資訊,2026 Q2,2026-08-14,41
2881,富邦金,2026 Q2,2026-08-14,41
2882,國泰金,2026 Q2,2026-08-14,41
2891,中信金,2026 Q2,2026-08-14,41
2884,玉山金,2026 Q2,2026-08-14,41
0000,台灣加權指數,2026 Q2,2026-08-14,41
0050,元大台灣50,2026 Q2,2026-08-14,41
0052,富邦科技,2026 Q2,2026-08-14,41
